user_id,step,psi_user,delta_selected,actual_delta,psi_target,tweet_id,psi_tweet,tweet_popularity,engaged,reward,psi_user_after,model_based
100005598,0,-2.064026,-0.3,-0.2999999999999998,-2.364026,syn_1975,-2.362541,3526,0,0.0,-2.064026,True
100005598,1,-2.064026,-0.15,-0.1499999999999999,-2.214026,syn_645,-2.131887,6334,0,0.0,-2.064026,True
100005598,2,-2.064026,0.0,0.0,-2.064026,syn_834,-2.33808,8720,0,0.0,-2.064026,True
100005598,3,-2.064026,0.15,0.1499999999999999,-1.9140260000000002,syn_697,-1.930112,6714,0,0.0,-2.064026,True
100005598,4,-2.064026,0.3,0.3,-1.764026,syn_2211,-1.720013,24619,0,0.0,-2.064026,True
100005598,5,-2.064026,-0.3,-0.2999999999999998,-2.364026,syn_570,-2.258579,29374,0,0.0,-2.064026,True
100005598,6,-2.064026,-0.15,-0.1499999999999999,-2.214026,syn_3832,-2.363676,2239,0,0.0,-2.064026,True
100005598,7,-2.064026,0.0,0.0,-2.064026,syn_1197,-1.854924,14848,1,0.5,-1.967186110116005,True
100005598,8,-1.967186110116005,0.15,0.1499999999999999,-1.8171861101160052,syn_477,-1.898001,7985,1,2.8,-1.9731316268662216,True
100005598,9,-1.9731316268662216,0.15,0.1499999999999999,-1.8231316268662217,syn_288,-1.604816,27308,0,0.0,-1.9731316268662216,True
100005598,10,-1.9731316268662216,0.15,0.1499999999999999,-1.8231316268662217,syn_743,-1.990768,4095,1,2.8,-1.989743230886221,True
100005598,11,-1.989743230886221,0.15,0.1499999999999999,-1.8397432308862212,syn_342,-1.756808,1535,1,2.8,-1.976624241120577,True
100005598,12,-1.976624241120577,0.15,0.1499999999999999,-1.826624241120577,syn_3412,-1.704322,1317,1,2.8,-1.9569081682929994,True
100005598,13,-1.9569081682929994,0.15,0.1499999999999999,-1.8069081682929995,syn_2211,-1.720013,24619,0,0.0,-1.9569081682929994,True
100005598,14,-1.9569081682929994,0.15,0.1499999999999999,-1.8069081682929995,syn_2060,-1.682483,4411,0,0.0,-1.9569081682929994,True
100005598,15,-1.9569081682929994,0.15,0.1499999999999999,-1.8069081682929995,syn_1197,-1.854924,14848,0,0.0,-1.9569081682929994,True
100005598,16,-1.9569081682929994,0.15,0.1499999999999999,-1.8069081682929995,syn_942,-1.58087,5499,0,0.0,-1.9569081682929994,True
100005598,17,-1.9569081682929994,0.3,0.3,-1.6569081682929994,syn_101,-1.684067,1408,0,0.0,-1.9569081682929994,True
100005598,18,-1.9569081682929994,0.15,0.1499999999999999,-1.8069081682929995,syn_288,-1.604816,27308,0,0.0,-1.9569081682929994,True
100005598,19,-1.9569081682929994,0.0,0.0,-1.9569081682929994,syn_627,-2.078131,2947,0,0.0,-1.9569081682929994,True
100091223,0,1.86435,0.15,0.1499999999999999,2.01435,syn_236,2.070068,9348,0,0.0,1.86435,True
100091223,1,1.86435,0.0,0.0,1.86435,syn_1009,1.732278,4394,0,0.0,1.86435,True
100091223,2,1.86435,-0.3,-0.3,1.56435,syn_205,1.569055,11723,0,0.0,1.86435,True
100091223,3,1.86435,-0.15,-0.1499999999999999,1.71435,syn_352,1.700128,10764,0,0.0,1.86435,True
100091223,4,1.86435,0.3,0.2999999999999998,2.1643499999999998,syn_296,2.094508,10644,0,0.0,1.86435,True
100091223,5,1.86435,0.0,0.0,1.86435,syn_99,2.016153,7325,0,0.0,1.86435,True
100091223,6,1.86435,-0.3,-0.3,1.56435,syn_1021,1.820858,10176,1,1.6,1.8465778544306755,True
100091223,7,1.8465778544306755,-0.3,-0.3,1.5465778544306754,syn_994,1.474974,4447,1,3.1,1.7821765780210495,True
100091223,8,1.7821765780210495,-0.3,-0.3,1.4821765780210494,syn_155,1.717425,3440,0,0.0,1.7821765780210495,True
100091223,9,1.7821765780210495,-0.3,-0.3,1.4821765780210494,syn_130,1.585071,8569,1,3.1,1.7674808460980653,True
100091223,10,1.7674808460980653,-0.3,-0.3,1.4674808460980653,syn_410,1.670691,8478,1,3.1,1.761602606227994,True
100091223,11,1.761602606227994,-0.3,-0.3,1.4616026062279939,syn_1237,1.673242,11743,0,0.0,1.761602606227994,True
100091223,12,1.761602606227994,-0.3,-0.3,1.4616026062279939,syn_1237,1.673242,11743,0,0.0,1.761602606227994,True
100091223,13,1.761602606227994,-0.3,-0.3,1.4616026062279939,syn_207,1.470785,17677,0,0.0,1.761602606227994,True
100091223,14,1.761602606227994,-0.3,-0.3,1.4616026062279939,syn_897,1.371997,6171,1,3.1,1.7280612248688936,True
100091223,15,1.7280612248688936,-0.3,-0.3,1.4280612248688935,syn_1663,1.481153,3529,0,0.0,1.7280612248688936,True
100091223,16,1.7280612248688936,-0.3,-0.3,1.4280612248688935,syn_74,1.616524,35855,1,3.1,1.7192103486269712,True
